OTU,Specificity,Sensitivity,Indicator Value,p.value,Group,Mycoparasite,Plant Pathogen,Saprotroph
FOtu0050_Rhinocladiella,0.9968,1,0.998,1.00E-04,IN,No,No,Yes
FOtu0023_Diplodia,0.951,1,0.975,1.00E-04,IN,No,Yes,Yes
FOtu0075_Orbilia,1,0.9286,0.964,1.00E-04,IN,No,No,Yes
FOtu0206_Pleosporales,1,0.9286,0.964,1.00E-04,IN,No,No,No
FOtu0257_Rhinocladiella,0.9349,0.9286,0.932,1.00E-04,IN,No,No,Yes
FOtu0071_Pleosporales,1,0.8571,0.926,1.00E-04,IN,No,No,No
FOtu0121_Candelariaceae,0.9602,0.8571,0.907,1.00E-04,IN,No,No,No
FOtu0018_Phaeomoniellales,0.8162,0.9286,0.871,1.00E-04,IN,No,No,No
FOtu0031_Pleosporales,0.8704,0.8571,0.864,1.00E-04,IN,No,No,No
FOtu0233_Candelaria.fibrosa,0.9054,0.7857,0.843,1.00E-04,IN,No,No,No
FOtu0029_Phaeoacremonium,0.9746,0.7143,0.834,0.0002,IN,No,Yes,No
FOtu0200_Phaeomoniellales,0.8596,0.7857,0.822,1.00E-04,IN,No,No,No
FOtu0393_Rhinocladiella,0.93,0.7143,0.815,1.00E-04,IN,No,No,Yes
FOtu0169_Physcia.millegrana,0.9149,0.7143,0.808,1.00E-04,IN,No,No,No
FOtu0125_Lophiostomataceae,0.9895,0.6429,0.798,1.00E-04,IN,No,Yes,Yes
FOtu0210_Pleosporales,0.9829,0.6429,0.795,1.00E-04,IN,No,No,No
FOtu0160_Phaeomoniellales,0.7447,0.7857,0.765,0.0002,IN,No,No,No
FOtu0084_Herpotrichiellaceae,0.6787,0.8571,0.763,3.00E-04,IN,Yes,No,Yes
FOtu0191_Phaeophyscia,1,0.5714,0.756,2.00E-04,IN,No,No,No
FOtu0202_Chaetothyriales,1,0.5714,0.756,1.00E-04,IN,No,No,No
FOtu0003_Phaeomoniellales,1,1,1,1.00E-04,IN.TN,No,No,No
FOtu0022_Helminthosporium.asterinum,1,1,1,1.00E-04,IN.TN,Yes,Yes,No
FOtu0027_Trichomeriaceae,1,1,1,1.00E-04,IN.TN,No,No,No
FOtu0040_Helminthosporium,1,0.9688,0.984,1.00E-04,IN.TN,Yes,Yes,No
FOtu0005_Phaeomoniellales,1,0.9375,0.968,1.00E-04,IN.TN,No,No,No
FOtu0069_Didymosphaeriaceae,1,0.9375,0.968,1.00E-04,IN.TN,No,Yes,Yes
FOtu0030_Trichomeriaceae,0.9991,0.9375,0.968,1.00E-04,IN.TN,No,No,No
FOtu0103_Trichomeriaceae,1,0.8438,0.919,1.00E-04,IN.TN,No,No,No
FOtu0064_Arthrocatena.tenebrio,0.9966,0.8438,0.917,0.0002,IN.TN,No,No,Yes
FOtu0063_Pleosporales,1,0.7812,0.884,1.00E-04,IN.TN,No,No,No
FOtu0082_Physcia,1,0.7812,0.884,0.0002,IN.TN,No,No,No
FOtu0066_Rhinocladiella,0.9979,0.75,0.865,1.00E-04,IN.TN,No,No,Yes
FOtu0130_Rhinocladiella,1,0.7188,0.848,1.00E-04,IN.TN,No,No,Yes
FOtu0230_Capnodiales,1,0.6562,0.81,0.0002,IN.TN,No,No,No
FOtu0093_Phaeophyscia,0.9792,0.6562,0.802,0.0011,IN.TN,No,No,No
FOtu0113_Teichosporaceae,1,0.625,0.791,0.0012,IN.TN,No,No,Yes
