OTU,Specificity,Sensitivity,Indicator Value,p.value,Group
BOtu00306_Mycobacterium,0.8997,1,0.949,1.00E-04,IN
BOtu02318_Subgroup_25,0.9344,0.8667,0.9,1.00E-04,IN
BOtu00577_Ardenticatenales,0.8598,0.9333,0.896,0.0003,IN
BOtu01347_Subgroup_17,0.8583,0.9333,0.895,1.00E-04,IN
BOtu02782_Haliangium,0.8773,0.8667,0.872,1.00E-04,IN
BOtu02190_Gaiellales,0.8737,0.8667,0.87,1.00E-04,IN
BOtu01442_Gemmatimonadaceae,0.8677,0.8667,0.867,0.0002,IN
BOtu01397_Sporichthyaceae,0.8632,0.8667,0.865,1.00E-04,IN
BOtu01322_JG30.KF.CM45,0.8587,0.8667,0.863,1.00E-04,IN
BOtu01443_S085,0.9269,0.8,0.861,1.00E-04,IN
BOtu00262_DeltaprBOteobacteria,0.9184,0.8,0.857,0.0004,IN
BOtu05672_SBR1031,1,0.7333,0.856,1.00E-04,IN
BOtu00640_Subgroup_11,0.8426,0.8667,0.855,1.00E-04,IN
BOtu02434_Gemmataceae,0.8356,0.8667,0.851,1.00E-04,IN
BOtu02563_Gemmataceae,0.8328,0.8667,0.85,1.00E-04,IN
BOtu00667_Nitrospira,0.8989,0.8,0.848,1.00E-04,IN
BOtu02421_mle1.8,0.7184,1,0.848,0.0017,IN
BOtu00945_mle1.7,0.828,0.8667,0.847,1.00E-04,IN
BOtu00240_Subgroup_6,0.8941,0.8,0.846,1.00E-04,IN
BOtu01792_Myxococcales,0.8246,0.8667,0.845,1.00E-04,IN
BOtu00158_S085,0.9885,1,0.994,1.00E-04,IN.TN
BOtu00214_Subgroup_6,0.9855,0.9697,0.978,1.00E-04,IN.TN
BOtu00268_AlphaprBOteobacteria,0.9483,1,0.974,1.00E-04,IN.TN
BOtu00806_WD2101_soil_group,0.9399,1,0.969,1.00E-04,IN.TN
BOtu00546_Chitinophagaceae,0.9381,1,0.969,1.00E-04,IN.TN
BOtu00657_Subgroup_22,0.9656,0.9697,0.968,1.00E-04,IN.TN
