OTU_ID	IN_MCB10_272s_S46_L001_R1_001	IN_MCB11_272s_S7_L001_R1_001	IN_MCB16_132s_S70_L001_R1_001	IN_MCB17_132s_S78_L001_R1_001	IN_MCB24_272s_S94_L001_R1_001	IN_MCB26_130s_S62_L001_R1_001	IN_MCB27_132s_S86_L001_R1_001	IN_MCB28_WTs_S15_L001_R1_001	IN_MCB2_130s_S38_L001_R1_001	IN_MCB6_55s_S14_L001_R1_001	IN_MCB7_55s_S22_L001_R1_001	IN_MCB9_130s_S54_L001_R1_001	IN_WT_MCB_29s_S23_L001_R1	IN_WT_MCB_33s_S31_L001_R1	TN_130_As_S71_L001_R1_001	TN_130_Bs_S79_L001_R1_001	TN_130_Cs_S87_L001_R1_001	TN_132_As_S95_L001_R1_001	TN_132_Bs_S47_L001_R1_001	TN_132_Cs_S8_L001_R1_001	TN_272_As_S16_L001_R1_001	TN_272_Bs_S24_L001_R1_001	TN_272_Cs_S32_L001_R1_001	TN_55_As_S39_L001_R1_001	TN_55_Bs_S55_L001_R1_001	TN_55_Cs_S63_L001_R1_001	TN_LS_1s_S40_L001_R1_001	TN_LS_2s_S56_L001_R1_001	TN_LS_3s_S64_L001_R1_001	TN_WT_MB_19s_S72_L001_R1	TN_WT_MB_20s_S80_L001_R1	TN_WT_MB_21s_S88_L001_R1	WA_BNL17_272s_S77_L001_R1_001	WA_BNL18_272s_S85_L001_R1_001	WA_BNL19_55s_S13_L001_R1_001	WA_BNL20_130s_S29_L001_R1_001	WA_BNL21_WTs_S93_L001_R1_001	WA_BNL22_WTs_S45_L001_R1_001	WA_BNL23_WTs_S6_L001_R1_001	WA_RN10_272s_S69_L001_R1_001	WA_RN1_55s_S44_L001_R1_001	WA_RN2_55s_S5_L001_R1_001	WA_RN4_130s_S21_L001_R1_001	WA_RN7_132s_S37_L001_R1_001	WA_RN8_132s_S53_L001_R1_001	WA_RN9_132s_S61_L001_R1_001	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
Otu0003	1152	1097	223	281	156	1719	1489	1089	705	1061	687	969	737	1294	187	478	1086	73	55	46	8	14	4	184	75	671	271	90	285	1184	633	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Phaeomoniellales(100);o__Phaeomoniellales_unclassified(100);o__Phaeomoniellales_unclassified(100);o__Phaeomoniellales_unclassified(100);	-	-	-	-	-	-	-	Unassigned	-
Otu0001	4	1	3	6	5	0	3	1	6	22	0	2	29	1	1	14	146	85	1	11	33	42	45	0	4	2	0	3	0	5	0	0	737	537	1001	1740	947	854	1189	346	511	592	224	889	321	699	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Didymellaceae(100);f__Didymellaceae_unclassified(100);f__Didymellaceae_unclassified(100);	Didymellaceae	9	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)
Otu0002	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1093	638	712	309	806	872	215	1397	249	783	232	647	378	680	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);	-	-	-	-	-	-	-	Unassigned	-
Otu0005	349	672	222	161	68	873	332	343	485	358	391	409	676	140	480	291	78	121	3	99	0	1	0	4	12	40	278	242	160	293	288	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Phaeomoniellales(100);o__Phaeomoniellales_unclassified(100);o__Phaeomoniellales_unclassified(100);o__Phaeomoniellales_unclassified(100);	-	-	-	-	-	-	-	Unassigned	-
Otu0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	282	12	74	24	44	76	0	1033	0	516	19	1153	294	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Melanommataceae(100);f__Melanommataceae_unclassified(100);f__Melanommataceae_unclassified(100);	Melanommataceae	9	Saprotroph	Wood Saprotroph	Probable	Microfungus	NULL	Saprobic on wood and bark (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
Otu0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2022	0	88	28	972	4	380	1	0	0	1	1	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);	-	-	-	-	-	-	-	Unassigned	-
Otu0006	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	286	216	163	156	198	81	393	398	88	302	125	100	97	186	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Dothideales(100);f__Aureobasidiaceae(100);g__Aureobasidium(100);s__Aureobasidium_pullulans(100);	Aureobasidium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Plant Pathogen-Undefined Saprotroph	Possible	Facultative Yeast	NULL	NULL	Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; Wachowska U, Glowacka K. 2014. Biocontrol 59:pp 635-645; Irinyia L, Lacknerb M, de Hoog GS, Meyer W. 2016. Fungal Biology 120:125-136; http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Otu0015	0	0	0	0	1	0	0	0	0	0	0	0	0	0	53	195	95	211	114	380	167	180	382	130	477	215	0	0	0	2	6	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);	-	-	-	-	-	-	-	Unassigned	-
Otu0023	3	3	1288	211	104	5	5	142	156	162	104	97	14	14	0	0	51	0	0	0	0	2	0	0	20	0	6	30	10	1	9	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Botryosphaeriales(100);f__Botryosphaeriaceae(100);g__Diplodia(100);g__Diplodia_unclassified(100);	Diplodia	13	Pathotroph-Saprotroph-Symbiotroph	Epiphyte-Plant Pathogen-Wood Saprotroph	Possible	Microfungus	NULL	Cause of soft-rot; Epiphyte detection method-culture (Carisse et al. 2000)	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645; Carisse O, et al. 2000. Biological Control 90:31-37
Otu0019	7	0	0	0	0	3	1	0	0	0	0	0	0	1	55	79	34	317	135	173	102	260	33	459	280	399	5	3	0	22	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(94);p__Ascomycota_unclassified(94);p__Ascomycota_unclassified(94);p__Ascomycota_unclassified(94);p__Ascomycota_unclassified(94);	-	-	-	-	-	-	-	Unassigned	-
