OTU,Specificity,Sensitivity,Indicator Value,p.value,Group,Arbuscular Mycorrhizal,Mycoparasite,Plant Pathogen
FOtu00073_Hypocreales,0.8446,1,0.919,0.0015,IN,No,No,No
FOtu00086_Sordariomycetes,0.8163,1,0.903,0.0049,IN,No,No,No
FOtu00053_Ganodermataceae,0.8142,1,0.902,0.0107,IN,No,No,Yes
FOtu00321_Pleosporales,0.8659,0.9333,0.899,1.00E-04,IN,No,No,No
FOtu00225_Pleosporales,0.9765,0.8,0.884,1.00E-04,IN,No,No,No
FOtu00244_Onygenaceae,0.9486,0.8,0.871,1.00E-04,IN,No,No,No
FOtu00588_Paramyrothecium_humicola,0.9267,0.8,0.861,0.0002,IN,No,No,No
FOtu01357_Hypocreales,1,0.7333,0.856,1.00E-04,IN,No,No,No
FOtu00158_Lophiotrema_rubi,0.9602,0.7333,0.839,1.00E-04,IN,No,No,No
FOtu00424_Eurotiomycetes,0.8663,0.8,0.833,0.0002,IN,No,No,No
FOtu01270_Cystobasidiomycetes,0.8552,0.8,0.827,0.0002,IN,No,No,No
FOtu00314_Plectosphaerellaceae,0.843,0.8,0.821,0.002,IN,No,Yes,Yes
FOtu00168_Talaromyces,0.8308,0.8,0.815,0.0006,IN,No,No,No
FOtu00712_Pyrenochaetopsis_pratorum,0.8168,0.8,0.808,0.0002,IN,No,No,No
FOtu00062_Plectosphaerella,0.8841,0.7333,0.805,0.0014,IN,No,No,Yes
FOtu00743_Pleosporales,0.8045,0.8,0.802,0.0002,IN,No,No,No
FOtu00968_Septoglomus_viscosum,0.8759,0.7333,0.801,1.00E-04,IN,Yes,No,No
FOtu00524_Pleosporales,0.7353,0.8667,0.798,0.0011,IN,No,No,No
FOtu00207_Helotiales,0.8676,0.7333,0.798,0.0002,IN,No,No,No
FOtu00194_Zopfiella_tabulata,0.86,0.7333,0.794,0.0013,IN,No,No,No
FOtu00054_Purpureocillium_lilacinum,0.9775,1,0.989,1.00E-04,IN.TN,No,Yes,No
FOtu00167_Fusarium_solani,0.9976,0.9697,0.984,1.00E-04,IN.TN,No,No,Yes
FOtu00050_Penicillium_cainii,0.9919,0.9697,0.981,1.00E-04,IN.TN,No,No,No
FOtu00085_Trichodermairale,0.9912,0.9697,0.98,1.00E-04,IN.TN,No,Yes,Yes
FOtu00180_Teichosporaceae,0.9866,0.9697,0.978,1.00E-04,IN.TN,No,No,No
FOtu00365_Calvatia_cyathiformis,0.9859,0.9697,0.978,1.00E-04,IN.TN,No,No,No
FOtu00039_Metarhizium_marquandii,0.9553,1,0.977,1.00E-04,IN.TN,No,No,No
FOtu00002_Metarhizium_anisopliae,0.9732,0.9697,0.971,1.00E-04,IN.TN,No,No,No
FOtu00035_Chaetomium,0.9721,0.9697,0.971,1.00E-04,IN.TN,No,No,No
FOtu00049_Paraconiothyrium,0.9424,1,0.971,1.00E-04,IN.TN,No,No,No
FOtu00007_Chaetomiaceae,0.9947,0.9394,0.967,1.00E-04,IN.TN,No,No,No
FOtu00540_Lycoperdon_pyriforme,0.976,0.9394,0.958,1.00E-04,IN.TN,No,No,No
FOtu00070_Didymellaceae,0.9718,0.9394,0.955,1.00E-04,IN.TN,No,No,Yes
FOtu00096_Penicillium_brasilianum,0.9715,0.9394,0.955,1.00E-04,IN.TN,No,No,No
FOtu00123_Fusicolla_aquaeductuum,0.9698,0.9394,0.954,1.00E-04,IN.TN,No,No,No
FOtu00311_Periconia_macrospinosa,1,0.9091,0.953,1.00E-04,IN.TN,No,No,Yes
FOtu00317_Halosphaeriaceae,0.9975,0.9091,0.952,1.00E-04,IN.TN,No,No,No
FOtu00021_Penicillium_thiersii,0.9321,0.9697,0.951,1.00E-04,IN.TN,No,No,No
FOtu00689_Ganoderma_adspersum,0.9929,0.9091,0.95,1.00E-04,IN.TN,No,No,Yes
FOtu00098_Rhizophydiales,0.9437,0.9394,0.942,1.00E-04,IN.TN,No,No,No
FOtu00184_Trichomeriaceae,0.9555,0.9444,0.95,1.00E-04,TN,No,No,No
FOtu00033_Metarhizium_anisopliae,0.9897,0.8889,0.938,0.0014,TN,No,No,No
FOtu00087_Penicillium,0.8771,0.9444,0.91,1.00E-04,TN,No,No,No
FOtu00250_Capnodiales,0.9912,0.8333,0.909,1.00E-04,TN,No,No,No
FOtu00389_Mycoleptodiscus,0.9254,0.8889,0.907,1.00E-04,TN,No,No,Yes
FOtu00072_Thyridariaceae,0.8538,0.9444,0.898,0.0002,TN,No,No,No
FOtu00880_Taphrina_inositophila,0.8454,0.9444,0.894,1.00E-04,TN,No,No,Yes
FOtu00271_Rachicladosporium,0.9402,0.8333,0.885,1.00E-04,TN,No,No,No
FOtu00838_Herpotrichiellaceae,0.8266,0.9444,0.884,0.0002,TN,No,Yes,No
FOtu00458_Lophiostomataceae,0.9972,0.7778,0.881,1.00E-04,TN,No,No,Yes
FOtu01052_Sphaceloma,0.9881,0.7778,0.877,1.00E-04,TN,No,No,Yes
FOtu00237_Trichomeriaceae,0.9867,0.7778,0.876,1.00E-04,TN,No,No,No
FOtu00508_Ascobolus,0.9162,0.8333,0.874,1.00E-04,TN,No,No,No
FOtu00519_Sympoventuriaceae,0.9147,0.8333,0.873,0.0005,TN,No,No,No
FOtu00485_Pleosporales,0.913,0.8333,0.872,1.00E-04,TN,No,No,No
FOtu01082_Pleosporales,0.9774,0.7778,0.872,1.00E-04,TN,No,No,No
FOtu00417_Thyridariaceae,0.8535,0.8889,0.871,1.00E-04,TN,No,No,No
FOtu00095_Pleosporales,0.9409,0.7778,0.855,1.00E-04,TN,No,No,No
FOtu00385_Mortierellomycota,0.8701,0.8333,0.852,0.0003,TN,No,No,No
FOtu00719_Capnodiales,1,0.7222,0.85,1.00E-04,TN,No,No,No
FOtu00162_Pleosporales,0.9609,1,0.98,1.00E-04,WA,No,No,No
FOtu00769_Naganishia_randhawae,0.9951,0.9167,0.955,1.00E-04,WA,No,No,No
FOtu00060_Gibellulopsis_piscis,0.9914,0.9167,0.953,1.00E-04,WA,No,No,Yes
FOtu00861_Mortierella_alpina,0.988,0.9167,0.952,1.00E-04,WA,No,No,No
FOtu00149_Lophiotrema_rubi,0.9858,0.9167,0.951,1.00E-04,WA,No,No,No
FOtu00157_Alternaria_subcucurbitae,0.9807,0.9167,0.948,1.00E-04,WA,No,No,Yes
FOtu00308_Cystofilobasidium_infirmominiatum,0.9791,0.9167,0.947,1.00E-04,WA,No,No,No
FOtu00147_Stachybotryaceae,0.9732,0.9167,0.945,1.00E-04,WA,No,No,No
FOtu00026_Pleosporales,0.973,0.9167,0.944,1.00E-04,WA,No,No,No
FOtu01094_Microascales,0.966,0.9167,0.941,1.00E-04,WA,No,No,No
FOtu00413_Fusarium_redolens,0.9568,0.9167,0.936,1.00E-04,WA,No,No,Yes
FOtu00016_Penicillium_neocrassum,0.9522,0.9167,0.934,0.0165,WA,No,No,No
FOtu01358_Mortierella,0.9502,0.9167,0.933,1.00E-04,WA,No,No,No
FOtu00664_Oidiodendron_truncatum,0.9416,0.9167,0.929,1.00E-04,WA,No,No,No
FOtu00758_Holtermanniella_takashimae,0.8608,1,0.928,1.00E-04,WA,No,No,No
FOtu00332_Tetracladium,0.9369,0.9167,0.927,1.00E-04,WA,No,No,No
FOtu01276_Syncephalis,0.9344,0.9167,0.926,1.00E-04,WA,No,Yes,No
FOtu00713_Alternaria_metachromatica,0.9222,0.9167,0.919,1.00E-04,WA,No,No,Yes
FOtu00023_Mortierella_alpina,0.9219,0.9167,0.919,0.0008,WA,No,No,No
FOtu00048_Xylariales,0.9148,0.9167,0.916,1.00E-04,WA,No,No,No
FOtu00818_Clonostachys,0.9185,1,0.958,0.0144,Negative,No,Yes,No
FOtu00209_Branch06,0.8783,1,0.937,0.0225,Negative,No,No,No
FOtu00553_Pleosporales,0.8448,1,0.919,0.0229,Negative,No,No,No
FOtu01412_Herpotrichiellaceae,0.9667,0.8333,0.898,0.022,Negative,No,Yes,No
FOtu00150_GS10,0.9408,0.8333,0.885,0.0435,Negative,No,No,No
FOtu00266_Ascobolus,0.9159,0.8333,0.874,0.0404,Negative,No,No,No
FOtu00748_Gibberella_zeae,0.9176,1,0.958,0.0425,Positive,No,No,Yes
FOtu00498_Papiliotrema_laurentii,0.8596,1,0.927,0.0372,Positive,No,No,No
FOtu02470_Chionosphaeraceae,0.9474,0.8333,0.889,0.0331,Positive,No,Yes,No
