,Degree,BetweennessCentrality
Botu0246,6,4974.73611111111
Botu0066,9,20666.8574770081
Botu0113,7,15238.7196404374
Botu0055,7,4147.77681517829
Botu0568,12,20328.4868986282
Botu0187,6,9456.64290565529
Botu0192,7,3326.82226712486
Botu0400,8,7286.659810752
Otu0527,7,4104.4073173546
Botu0071,8,4608.49485388312
Botu0277,10,14815.4824396355
Botu0541,7,4104.4073173546
Otu0174,8,5649.77418965208
Botu0537,7,3973.85654999248
Botu0081,7,3051.6078875373
Botu0090,6,7680.9807969388
Botu0641,7,5161.12533772679
Otu0654,6,8052.75034025586
Botu0463,7,4698.90090823125
Botu0616,9,8178.9457225465
Botu0174,6,4127.14938280674
Botu0402,8,10075.8073482354
Botu0531,9,3946.94574764114
Botu0763,9,3946.94574764114
Botu0268,8,5651.16761974453
Botu0271,8,4694.06063445498
Botu0898,8,5463.95916699548
Botu0289,6,14357.8680180119
Botu0703,8,4996.81805880079
Botu0255,6,5172.9499302558
Otu0029,7,6259.25035947921
Otu0171,8,3570.85125728269
Otu0230,7,6632.14007527653
Otu0298,9,6412.97167806964
Otu0404,6,3213.8213782986
