Var1	Var2	r	p	r.sign
Botu0246	Otu0001	-0.863470751010003	6.92264929200714e-05	0
Botu0401	Otu0001	-0.801475823639816	0.000567648230130002	0
Botu0066	Otu0003	0.842684778353268	0.000154534038616649	1
Botu0913	Otu0003	0.811582769125132	0.000424710044990118	1
Otu0446	Otu0005	-0.821646357381679	0.000312712243270674	0
Botu0325	Otu0005	0.825322059883624	0.000278326225179093	1
Otu0242	Otu0014	0.918954059849105	3.42951426723914e-06	1
Botu0055	Otu0014	0.813154869565628	0.000405356941119983	1
Otu0327	Otu0018	0.902761304868724	9.86884121645382e-06	1
Botu0568	Otu0018	0.82749100129167	0.000259514057435517	1
Otu0040	Otu0022	0.808844223081106	0.000460195090452142	1
Botu0257	Otu0023	0.803333973500585	0.000538825156723988	1
Botu0913	Otu0023	-0.806806973728322	0.000488109479376053	0
Otu0255	Otu0024	0.819203672706089	0.000337401325337439	1
Otu0064	Otu0027	0.803991147963965	0.000528917544218466	1
Botu0204	Otu0027	-0.809516752709651	0.00045126755809255	0
Botu0011	Otu0029	0.840790603510357	0.000165323028585185	1
Botu0049	Otu0029	0.851238945625131	0.000112667947272271	1
Botu0068	Otu0029	0.811874682200841	0.000421061382987364	1
Botu0166	Otu0029	-0.820618654360514	0.000322915407486191	0
Botu0187	Otu0029	-0.813654422498897	0.000399358277799244	0
Botu0681	Otu0029	0.805172812067087	0.00051147124799078	1
Botu0482	Otu0030	0.835626163767967	0.000197873752107558	1
Botu0015	Otu0037	0.879384188674165	3.4114178024236e-05	1
Botu0056	Otu0037	0.803456169193544	0.000536971728945623	1
Botu0062	Otu0037	0.818593749192842	0.000343804893741417	1
Otu0201	Otu0038	0.851712075056291	0.000110653961505225	1
Botu0715	Otu0038	0.817411262560758	0.000356498953706819	1
Botu0129	Otu0040	-0.865806478139083	6.27483360617909e-05	0
Botu0299	Otu0050	-0.823178070241449	0.000297989463992288	0
Botu0511	Otu0052	-0.81260370184204	0.000412059384846231	0
Botu0154	Otu0061	-0.801813555665506	0.000562319408587975	0
Botu0842	Otu0064	0.817423891369599	0.000356361415261519	1
Botu0134	Otu0066	-0.908858105741127	6.78313456825563e-06	0
Botu0545	Otu0066	-0.808630408110941	0.00046306296693599	0
Otu0084	Otu0069	-0.809261792855786	0.000454635482245447	0
Otu0265	Otu0069	0.828232355225804	0.000253324942907973	1
Botu0361	Otu0069	-0.801542790024426	0.000566588406874846	0
Botu0437	Otu0069	0.875783788376686	4.03701578930438e-05	1
Botu0585	Otu0070	-0.894427190999916	1.58660202402849e-05	0
Botu0052	Otu0071	-0.835098587194684	0.000201471545862253	0
Otu0119	Otu0075	-0.800113652181377	0.000589554205312259	0
Botu0157	Otu0075	0.844918695255699	0.000142550881305326	1
Botu0234	Otu0075	0.809823674815207	0.000447239895027485	1
Otu0119	Otu0080	-0.852843205190465	0.000105957350725383	0
Botu0179	Otu0080	-0.839080622700065	0.000175579638621137	0
Botu0192	Otu0082	-0.857358595584035	8.87925182335714e-05	0
Botu0197	Otu0082	0.815386274733118	0.000379113244708851	1
Botu0247	Otu0082	-0.846944375008568	0.000132347109896624	0
Otu0527	Otu0083	0.873434127366078	4.4935684371028e-05	1
Botu0071	Otu0083	-0.81408360364371	0.000394261938164053	0
Botu0277	Otu0083	-0.854701411208162	9.85941865176976e-05	0
Botu0287	Otu0083	0.828337228771374	0.000252459133382121	1
Botu0541	Otu0083	0.878003125205497	3.64126744691884e-05	1
Botu0568	Otu0083	0.838876096931093	0.00017684014801933	1
Otu0314	Otu0084	-0.824373104156071	0.000286895835234002	0
Otu0783	Otu0085	0.851006522521849	0.000113668157452507	1
Botu1247	Otu0085	0.904148301340817	9.08179498182449e-06	1
Otu0253	Otu0086	0.802590486642962	0.000550213247854092	1
Otu0314	Otu0119	0.908149858082995	7.09443080770811e-06	1
Otu0592	Otu0121	-0.814417653875318	0.000390331607381444	0
Botu0075	Otu0121	0.890934296018414	1.91377998324249e-05	1
Botu0517	Otu0124	0.859323198939531	8.20677975235107e-05	1
Botu0643	Otu0124	0.88807688240443	2.22076435421048e-05	1
Otu0369	Otu0125	-0.850671497707261	0.000115122582085903	0
Botu0192	Otu0125	0.855190712239067	9.67261868716207e-05	1
Botu0537	Otu0125	-0.801428025961447	0.000568405659038262	0
Botu0950	Otu0127	0.882596023806981	2.92240828039247e-05	1
Otu0593	Otu0128	0.806573296655398	0.000491396468131899	1
Botu0226	Otu0130	0.828499049716572	0.000251127873868384	1
Otu0207	Otu0134	0.846433802210668	0.000134861243735074	1
Botu0017	Otu0134	0.87277039588439	4.629891962038e-05	1
Botu0081	Otu0134	0.840402471439991	0.000167607344959908	1
Botu0011	Otu0153	-0.802527350226283	0.000551189154281317	0
Botu0049	Otu0155	-0.801121818992306	0.000573277267342132	0
Botu0068	Otu0155	-0.854588268269541	9.90302773433704e-05	0
Botu0584	Otu0155	0.824541775020011	0.000285357275288334	1
Botu0521	Otu0156	0.813404053429811	0.000402355721068615	1
Botu0060	Otu0160	0.800914157114724	0.000576600109233549	1
Otu0276	Otu0169	0.822939724668422	0.000300242914407001	1
Botu0549	Otu0169	-0.806784296389624	0.000488427690379156	0
Otu0299	Otu0171	0.807771934750233	0.000474722710118947	1
Botu0113	Otu0171	0.83109059542297	0.000230569296429728	1
Botu0388	Otu0171	0.821120729134656	0.000317897720745641	1
Botu0957	Otu0171	0.838759553113822	0.000177561689397532	1
Otu0202	Otu0174	0.82029529074602	0.000326180760421124	1
Otu0532	Otu0174	0.815726178159572	0.000375238721628923	1
Otu0817	Otu0174	0.837707816583391	0.000184181664313554	1
Botu0536	Otu0174	0.91820900094889	3.61711174390322e-06	1
Botu0066	Otu0183	0.9053077621291	8.4640817257231e-06	1
Botu0463	Otu0183	-0.817388413993773	0.000356747902746646	0
Botu0578	Otu0183	0.836933872944442	0.000189179633801828	1
Otu0333	Otu0188	0.810719771551867	0.000435645893275716	1
Botu0093	Otu0200	0.830007585746767	0.000238988354693159	1
Botu0124	Otu0201	-0.810581677723172	0.000437416651776434	0
Botu0174	Otu0201	0.853747232259044	0.000102321297929642	1
Botu0351	Otu0201	0.852798539410353	0.000106139684244999	1
Otu0259	Otu0202	0.855085394065093	9.71258089756954e-05	1
Botu0172	Otu0202	0.840719372333173	0.000165740351823374	1
Botu0536	Otu0202	0.873897117656766	4.40042819067621e-05	1
Botu0208	Otu0207	-0.863472064732057	6.92227021410474e-05	0
Botu0558	Otu0212	0.885207617949659	2.56843301629228e-05	1
Botu0726	Otu0212	0.822809167044907	0.000301483096767363	1
Otu0452	Otu0216	0.82232525319966	0.000306115971406395	1
Botu0745	Otu0216	0.840660402400662	0.000166086485451356	1
Botu0296	Otu0221	0.833303771204809	0.000214109838300391	1
Otu0330	Otu0223	0.977548953662712	1.76167280763195e-09	1
Botu0205	Otu0223	0.821385910818714	0.000315273024166229	1
Botu0616	Otu0223	0.861783680266761	7.42361108470035e-05	1
Botu0617	Otu0223	0.818425646788772	0.000345586914069163	1
Botu0035	Otu0230	0.809965219352943	0.000445392214912133	1
Botu0447	Otu0230	0.80946778517622	0.000451912838083324	1
Botu0641	Otu0230	0.837264866264133	0.000187028879807816	1
