Var1	Var2	r	p	r.sign
Botu00583	Otu00020	0.937169416645581	2.60359104053975e-07	1
Otu00202	Otu00027	0.981175784559485	1.14662501715657e-10	1
Botu00162	Otu00027	-0.929995535876868	5.16596688093784e-07	0
Botu00262	Otu00053	0.942555447775728	1.4732937669848e-07	1
Botu00944	Otu00053	0.940966010733453	1.75247408584767e-07	1
Otu00216	Otu00064	0.968131660242875	3.40376371532614e-09	1
Botu00305	Otu00071	-0.955941436419755	2.71337177171205e-08	0
Otu00122	Otu00078	0.937389693118051	2.5461993313769e-07	1
Botu00067	Otu00078	0.925827000612216	7.44715937139873e-07	1
Botu00024	Otu00087	-0.931062998340234	4.68717390678108e-07	0
Botu00276	Otu00109	0.945960952275103	9.98565292675835e-08	1
Botu01032	Otu00109	0.947877943928333	7.93310899194211e-08	1
Botu01134	Otu00112	0.939260047129381	2.1002109251711e-07	1
Botu00067	Otu00122	0.94270404832624	1.44922168487938e-07	1
Botu01001	Otu00158	0.938530989671749	2.26553642512783e-07	1
Botu02197	Otu00216	0.938816957686027	2.19943400381339e-07	1
Botu01273	Otu00298	-0.953472768756207	3.84420868471125e-08	0
Botu00668	Otu00347	0.95843375299719	1.86961317538703e-08	1
Botu00014	Otu00375	-0.933139385228385	3.8617715247824e-07	0
Botu00061	Otu00375	0.926575851705091	6.98464140080901e-07	1
Botu00506	Otu00375	0.923316638841427	9.18907124169976e-07	1
Botu00654	Otu00375	0.922939024851938	9.47840626430718e-07	1
Botu00262	Otu00390	0.923316302991634	9.18932525628691e-07	1
Otu00681	Otu00406	0.943855796468871	1.2735934928898e-07	1
Botu00122	Otu00406	-0.935374072935532	3.11313738565744e-07	0
Botu01328	Otu00535	0.934277617680307	3.46358293157323e-07	1
Botu02964	Otu00630	0.926707903775483	6.90563082272888e-07	1
Botu00122	Otu00681	-0.923843605007803	8.79767963590794e-07	0
Botu00058	Otu00948	0.929443783702728	5.42907954814709e-07	1
Botu00073	Otu00948	-0.929350030901813	5.47488342661495e-07	0
Botu00076	Otu00948	0.936747842093071	2.7164572369287e-07	1
Botu01188	Otu00948	0.923064428403661	9.38148643214731e-07	1
Botu01346	Otu00948	0.933027337969407	3.90296100549747e-07	1
Botu00066	Botu00009	0.951700986142754	4.88022351419204e-08	1
Botu00068	Botu00009	0.922330984215777	9.96030203204157e-07	1
Botu00082	Botu00009	-0.960714285714286	1.30274897536253e-08	0
Botu00369	Botu00009	-0.932417374232705	4.13370328633533e-07	0
Botu01273	Botu00009	-0.925445077838262	7.69274690615163e-07	0
Botu00026	Botu00012	-0.932976243860187	3.9218654590556e-07	0
Botu00073	Botu00012	-0.948121645796064	7.69965411429041e-08	0
Botu00076	Botu00012	0.974955277280859	7.22640391970231e-10	1
Botu00205	Botu00012	0.930232558139535	5.05626535085568e-07	1
Botu00240	Botu00012	0.936326259104982	2.83339983031539e-07	1
Botu00619	Botu00012	0.923704338820213	8.89973374107456e-07	1
Botu00640	Botu00012	0.95255185889755	4.35675953092129e-08	1
Botu00699	Botu00012	0.946332737030411	9.55610977015908e-08	1
Botu00851	Botu00012	0.962367136804366	9.89145210184006e-09	1
Botu00945	Botu00012	0.989248900402254	3.06643599401468e-12	1
Botu01295	Botu00012	0.940919913223118	1.76118994499319e-07	1
Botu00156	Botu00013	0.937642955461516	2.48152809412261e-07	1
Botu00565	Botu00013	-0.9623119830695	9.98472815538776e-09	0
Botu00061	Botu00014	-0.927614311424208	6.38323203627778e-07	0
Botu00654	Botu00014	-0.931569336427208	4.47341491849329e-07	0
Botu00061	Botu00018	0.952636662792106	4.30728048783635e-08	1
Botu00207	Botu00018	0.946242637207103	9.65875486258483e-08	1
Botu00242	Botu00018	0.924867311721435	8.07713013806222e-07	1
Botu00815	Botu00018	0.952636662792106	4.30728048783635e-08	1
Botu02964	Botu00018	0.937368848728043	2.55158435269465e-07	1
Botu00726	Botu00023	-0.970316289672649	2.15665396652298e-09	0
Botu00073	Botu00026	0.927614311424208	6.38323203627778e-07	1
Botu00089	Botu00026	-0.932142857142857	4.24121822995005e-07	0
Botu00205	Botu00026	-0.949062041168121	6.85211474227287e-08	0
Botu00553	Botu00026	-0.96323838447613	8.5124192139574e-09	0
Botu00699	Botu00026	-0.932976243860187	3.9218654590556e-07	0
Botu01067	Botu00026	-0.942293532370369	1.51653901880877e-07	0
Botu00640	Botu00029	-0.93010752688172	5.11388802637569e-07	0
Botu00957	Botu00029	-0.923835125448029	8.80386532120525e-07	0
Botu00231	Botu00035	-0.928081571698689	6.12713042524859e-07	0
Botu00707	Botu00035	0.944545339630402	1.17726986381683e-07	1
Botu00074	Botu00041	0.984808257407975	2.87077028815474e-11	1
Botu00676	Botu00041	0.932633000772928	4.05086288957079e-07	1
Botu00273	Botu00048	0.927844518330981	6.25596010550566e-07	1
Botu00291	Botu00048	0.926875028926984	6.80670894315227e-07	1
Botu01108	Botu00048	-0.932191210567427	4.22211241080106e-07	0
Botu01232	Botu00048	-0.940471517071019	1.8478847452208e-07	0
Botu00239	Botu00049	0.938338176296165	2.3110397551207e-07	1
Botu00061	Botu00050	0.945487419544135	1.05561216212635e-07	1
Botu00538	Botu00050	0.948123162886578	7.6982190844177e-08	1
Botu00278	Botu00055	0.955122853746071	3.0522044447423e-08	1
Botu00076	Botu00058	0.950849351980114	5.45609879498699e-08	1
Botu00667	Botu00058	0.939074132379777	2.1413762785194e-07	1
Botu01188	Botu00058	0.932018899454895	4.29052862127577e-07	1
Botu00207	Botu00061	0.954263543762166	3.44548369834996e-08	1
Botu00216	Botu00061	-0.922940550194132	9.47722236910309e-07	0
Botu00242	Botu00061	0.931065726741966	4.68599955283366e-07	1
Botu00260	Botu00061	0.942754919499106	1.44105719801502e-07	1
Botu00538	Botu00061	0.966875947001272	4.36253433377942e-09	1
Botu00654	Botu00061	0.948633583487128	7.22798434438232e-08	1
Botu00815	Botu00061	0.974955277280859	7.22640391970231e-10	1
Botu00957	Botu00061	0.927484704716035	6.45583506209135e-07	1
Botu00068	Botu00066	0.927753785512912	6.30586643346476e-07	1
Botu00082	Botu00066	-0.939178604746138	2.11816147288602e-07	0
Botu00082	Botu00068	-0.922330984215777	9.96030203204157e-07	0
Botu00127	Botu00068	0.954338131211766	3.4097413337264e-08	1
Botu00137	Botu00068	0.972222222222222	1.40747791199658e-09	1
Botu00945	Botu00073	-0.924732667767324	8.16897937294669e-07	0
Botu00676	Botu00074	0.928071063707183	6.13279368621988e-07	1
Botu00291	Botu00075	-0.926875028926984	6.80670894315227e-07	0
Botu00240	Botu00076	0.941707444502137	1.61718083147022e-07	1
Botu00242	Botu00076	0.927484704716035	6.45583506209135e-07	1
Botu00640	Botu00076	0.950761347884584	5.51873093890265e-08	1
Botu00667	Botu00076	0.938119987570701	2.36345359283519e-07	1
Botu00699	Botu00076	0.944543828264758	1.17747409600355e-07	1
Botu00807	Botu00076	0.925563888310672	7.61563267337451e-07	1
Botu00851	Botu00076	0.953406548938404	3.87928758005529e-08	1
Botu00945	Botu00076	0.969535607097136	2.54827270396163e-09	1
Botu00973	Botu00076	0.935366178059933	3.11555006016206e-07	1
Botu01295	Botu00076	0.951860842446643	4.77804071863375e-08	1
Botu00251	Botu00078	-0.924867311721435	8.07713013806222e-07	0
Botu01536	Botu00079	0.943762727105717	1.28708707025638e-07	1
Botu00097	Botu00081	0.935489879966113	3.0779263271441e-07	1
Botu00130	Botu00081	0.924460431654676	8.35736128301789e-07	1
Botu00226	Botu00082	0.945487419544135	1.05561216212635e-07	1
Botu00369	Botu00082	0.94323846561645	1.36535951433814e-07	1
Botu00408	Botu00082	0.925697161427839	7.52990240382445e-07	1
Botu01273	Botu00082	0.925445077838262	7.69274690615163e-07	1
Botu00221	Botu00094	0.939178604746138	2.11816147288602e-07	1
Botu00127	Botu00097	0.936024404693953	2.91969922017188e-07	1
Botu00130	Botu00097	0.928321375138787	5.9990738909832e-07	1
Botu00425	Botu00097	0.934530656519311	3.37990873511274e-07	1
Botu01536	Botu00099	-0.939286103349281	2.09449494192882e-07	0
Botu00242	Botu00107	0.930234046605699	5.05558265695427e-07	1
Botu00290	Botu00124	0.932022958233787	4.2889064655327e-07	1
Botu00137	Botu00127	0.935327411466512	3.1274198919462e-07	1
Botu00189	Botu00127	0.942042898105522	1.55891407116471e-07	1
Botu00478	Botu00129	0.95169946332737	4.88120566188854e-08	1
Botu00230	Botu00131	-0.926283357294547	7.16234711317654e-07	0
Botu00615	Botu00138	-0.930404086635951	4.97809927946236e-07	0
Botu00652	Botu00138	-0.967713393679176	3.70109409786323e-09	0
Botu01108	Botu00138	-0.949276581597899	6.67016548661081e-08	0
Botu01293	Botu00141	0.924473889041652	8.34796440418728e-07	1
Botu01248	Botu00143	-0.958572562642777	1.8300164938978e-08	0
Botu00217	Botu00146	-0.939631435155202	2.01996289472817e-07	0
Botu00390	Botu00146	0.926787355492565	6.8584541068617e-07	1
Botu00196	Botu00148	0.925642775784109	7.56478883534584e-07	1
Botu00273	Botu00148	0.931480101790116	4.51048211669303e-07	1
Botu00663	Botu00148	-0.925419632175748	7.70934716065597e-07	0
Botu00665	Botu00148	0.934028924988609	3.5475047699407e-07	1
Botu00684	Botu00150	-0.924609461344762	8.25379061986098e-07	0
Botu00550	Botu00155	0.949776166734243	6.26214342602793e-08	1
Botu01759	Botu00155	0.936462705427314	2.79509802414424e-07	1
Botu00550	Botu00156	-0.930182192337417	5.07941147809277e-07	0
Botu00565	Botu00156	-0.935427181659939	3.09694802247407e-07	0
Botu00251	Botu00158	-0.975806451612903	5.78367131964796e-10	0
Botu00311	Botu00172	0.929743312638483	5.28488630635593e-07	1
Botu00273	Botu00189	0.92550415968795	7.6543184057698e-07	1
Botu00341	Botu00189	-0.929922515544803	5.2001619765818e-07	0
Botu00470	Botu00196	0.935136653092139	3.1863813898525e-07	1
Botu00665	Botu00196	0.922627305302086	9.72295837842196e-07	1
Botu01454	Botu00199	0.924484356304508	8.34066155253055e-07	1
Botu01308	Botu00200	-0.924064230678735	8.63801054240554e-07	0
Botu00242	Botu00207	0.951527565807356	4.99314727342437e-08	1
Botu00538	Botu00207	0.938960220598579	2.16693144317048e-07	1
Botu00815	Botu00207	0.957851000693603	2.04380907753432e-08	1
Botu00944	Botu00207	0.932738802173546	4.010727199244e-07	1
Botu01134	Botu00207	0.930571484216229	4.90279413511985e-07	1
Botu01188	Botu00207	0.926248854601617	7.18355660067616e-07	1
Botu01240	Botu00207	0.94024207767331	1.89361212044048e-07	1
Botu01328	Botu00207	0.92937222706437	5.46401013323816e-07	1
Botu00240	Botu00217	0.93190562755245	4.33600733318329e-07	1
Botu01295	Botu00217	0.947366868222571	8.44205285677191e-08	1
Botu01397	Botu00217	0.924867311721435	8.07713013806222e-07	1
Botu01442	Botu00220	0.96412594829019	7.27768245667448e-09	1
Botu00369	Botu00226	0.936861261727176	2.68569616768133e-07	1
Botu00369	Botu00230	0.932078982837098	4.26656779684009e-07	1
Botu00240	Botu00231	-0.927803879933943	6.27827164478845e-07	0
Botu00413	Botu00231	0.924484356304508	8.34066155253055e-07	1
