,Degree,BetweennessCentrality
Botu02964,33,2746.73082759234
Otu00375,30,2644.66427051277
Botu00061,60,3036.14317224969
Botu00260,45,6885.18378105959
Botu00049,24,3995.4246099716
Botu00068,42,7204.29146239781
Botu00148,44,6746.80350653365
Botu00265,32,3646.9189959164
Botu00851,33,3312.88289077339
Botu01240,52,3460.80347386002
Botu00012,53,2964.2673088662
Botu00553,44,4093.77122778141
Botu01067,22,9755.27860462029
Botu00615,62,8567.28736011157
Botu00699,57,3699.30738948923
Botu01232,40,3635.32505880901
Botu00113,21,4170.56657368804
Botu00026,32,2724.82372461061
Botu00240,58,3536.81742296519
Botu00131,34,6778.7074401809
Botu00137,30,3893.73160200024
Botu00230,31,10061.3515593132
Botu00048,41,6869.76761615616
Botu00273,46,6121.79485103635
Botu00269,44,5249.11061996443
Botu01044,46,2935.68647692079
Botu01108,45,3365.55931663435
Botu00578,28,5503.57209943009
Botu00833,26,5854.21791516173
Botu00023,23,10148.2640153768
