,Degree,BetweennessCentrality
Otu0061,63,2744.35507054186
Otu0253,68,1788.79850678875
Botu0053,47,1770.93093217884
Otu0037,74,2123.23899118307
Otu0175,63,2204.07675835512
Otu0238,55,1713.30126010942
Botu0071,73,2096.66541838312
Botu0109,78,2331.01252392857
Botu0219,57,1846.66376779628
Botu0347,60,2455.50141580304
Botu0388,66,1830.32614529946
Botu0044,51,1861.71015957877
Botu0120,52,1677.26175464023
Otu0091,51,2461.78329236938
Otu0019,77,1954.15173434446
Otu0098,54,1665.19027766784
Otu0167,45,1918.17247724496
Botu0008,63,2313.01134483612
Botu0117,57,1651.05692165427
Botu0119,72,2177.44430301259
Botu0148,86,2852.98341068089
Botu0214,65,2185.35167954439
Botu0253,91,3558.96785290868
Otu0066,56,2158.87159481733
Otu0130,57,1888.93620395603
Otu0068,52,1971.56693071745
Botu0035,65,2525.67654540993
Botu0454,52,2445.59771771971
Otu0357,44,1607.21157595
Botu0097,41,1628.3290064517
Botu0073,43,2149.45619495792
