,Degree,BetweennessCentrality
Botu00049,28,2915.10997425926
Botu00054,27,10071.9825014932
Botu00173,48,4819.56035887254
Botu00259,72,2342.80816602281
Botu00283,34,2328.00368201709
Botu00320,48,3064.6946547574
Botu00374,72,2625.02704075793
Botu00455,63,4430.20600695966
Botu00508,63,2003.20824403891
Botu00614,66,2221.35901585871
Botu00785,42,2576.64058611423
Botu01137,68,2767.1431837812
Botu01227,44,3167.21056496805
Botu01579,49,2800.45206499701
Botu01934,34,2329.8746211858
Botu00107,33,3539.0772010119
Botu00308,46,2741.15567853236
Botu01144,45,6455.31039775635
Botu00103,64,2233.90750386271
Botu00124,54,2222.47005299314
Botu00226,69,3710.37310224865
Botu00442,46,2162.78802327697
Botu00642,30,2007.18137359606
Botu00072,42,2318.20307724422
Otu00051,49,1955.91313881008
Botu00005,39,2495.74126035678
