Var1	Var2	r	p	r.sign
Otu0097	Otu0002	-0.878265257344815	0.000827446273493404	0
Botu0375	Otu0004	0.975456381144309	1.54128729512593e-06	1
Otu0162	Otu0006	0.880771012101088	0.000763791737457442	1
Botu0048	Otu0006	-0.90043977525224	0.000380598963274581	0
Botu0149	Otu0006	-0.924506702884387	0.000129632685915482	0
Botu0161	Otu0006	-0.885716211854273	0.000648750743011295	0
Otu0213	Otu0007	0.924506702884387	0.000129632685915482	1
Otu0055	Otu0008	0.897999130859485	0.000418041207038256	1
Otu0074	Otu0009	0.877366660369984	0.000851188437288375	1
Botu0309	Otu0009	0.910430543453697	0.000252439205791433	1
Otu0059	Otu0012	-0.875383982899293	0.000905325828258086	0
Botu0004	Otu0012	0.939393939393939	5.48405299851673e-05	1
Botu0038	Otu0012	0.878787878787879	0.000813862111732178	1
Botu0036	Otu0021	0.906326967174966	0.000300443461803912	1
Botu0069	Otu0021	0.886191601866609	0.000638403274205057	1
Botu0028	Otu0024	-0.972349118714751	2.47360374139305e-06	0
Botu0046	Otu0024	-0.877366660369984	0.000851188437288375	0
Botu0036	Otu0026	0.884984650702101	0.000664912771108472	1
Botu0069	Otu0026	0.911585365853659	0.000240013528246319	1
Botu0111	Otu0026	0.921419936161715	0.000151591615740188	1
Otu0035	Otu0032	0.919770610032234	0.000164389622884453	1
Otu0162	Otu0032	-0.932312105629881	8.45866987115862e-05	0
Otu0256	Otu0032	0.873249390744583	0.000966370801271932	1
Botu0011	Otu0032	0.87806510397951	0.000832692255795298	1
Botu0067	Otu0032	0.913597652917924	0.000219444427695059	1
Botu0087	Otu0032	0.925943567146545	0.000120254674331077	1
Otu0162	Otu0035	-0.873069199701386	0.000971657462866427	0
Otu0256	Otu0035	0.929964971610504	9.66639398480851e-05	1
Botu0048	Otu0035	0.905226481588638	0.000314382593472828	1
Botu0161	Otu0035	0.883561592662003	0.000697191647121898	1
Otu0110	Otu0041	-0.924016426393698	0.000132952658160157	0
Otu0072	Otu0047	0.901721540705724	0.000361951603780053	1
Botu0161	Otu0051	0.903162730504245	0.000341795314866555	1
Botu0923	Otu0051	-0.877058019307029	0.000859456555815097	0
Otu0517	Otu0055	-0.875	0.000916093587875366	0
Otu0192	Otu0057	-0.912945883241855	0.000225958596236087	0
Botu0475	Otu0059	0.87663008172639	0.000871017153871279	1
Botu0227	Otu0072	0.907692307692308	0.000283787045612716	1
Otu0182	Otu0074	-0.939494600048169	5.44838278293547e-05	0
Botu0309	Otu0074	0.877781764185494	0.000840159952388619	1
Otu0278	Otu0076	0.879408088351811	0.000797953299710663	1
Otu0131	Otu0078	0.878048780487805	0.000833121158353212	1
Otu0157	Otu0078	0.978658536585366	8.84522631139362e-07	1
Botu0018	Otu0078	-0.914351512260513	0.000212083467361568	0
Botu0039	Otu0078	0.880037493520313	0.000782041759201935	1
Botu0031	Otu0097	-0.950155447995932	2.5423318260831e-05	0
Botu0036	Otu0097	-0.886405260427918	0.000633792230285923	0
