,Degree,BetweennessCentrality
Otu0021,16,577.707297564683
Otu0032,18,637.49180163179
Otu0278,13,611.217249297655
Botu0039,18,621.075732392122
Botu0058,19,555.547974868759
Botu0069,17,577.574757171174
Botu0010,18,783.282931688944
Botu0046,16,531.101970118677
Botu0087,22,1168.87098064308
Botu0475,15,926.860309984111
Botu0007,16,779.298856889018
Botu0014,23,1169.39318263518
Otu0115,19,1016.3833063721
Otu0118,16,783.518689668644
Botu0011,15,858.843470828982
Botu0047,13,1993.53104698463
Botu0067,18,1063.5862408365
