Var1	Var2	r	p	r.sign
Otu0004	Otu0001	-0.818181818181818	0.0038149200825508	0
Otu0008	Otu0001	-0.814593428531286	0.00410613152183092	0
Otu0509	Otu0001	-0.818379538933538	0.00379931785897947	0
Otu0536	Otu0001	-0.845742551972309	0.00204747891640777	0
Botu0006	Otu0001	0.83030303030303	0.00294022702327945	1
Botu0049	Otu0001	-0.848934830938402	0.00189083575228732	0
Botu0196	Otu0001	0.865869755313128	0.00120063930154624	1
Botu0677	Otu0001	0.829370422162271	0.00300181332997784	1
Otu0021	Otu0002	0.840554073221593	0.00232177895009111	1
Otu0097	Otu0002	-0.878265257344815	0.000827446273493404	0
Otu0497	Otu0002	-0.808807519133454	0.00460870343436537	0
Botu0031	Otu0002	0.84498870571529	0.00208579650533425	1
Botu0036	Otu0002	0.849861347376329	0.00184704453843421	1
Botu0052	Otu0002	0.838909650278489	0.00241398836881546	1
Botu0096	Otu0002	-0.816012348455999	0.00398914439528708	0
Botu0171	Otu0002	-0.818379538933538	0.00379931785897947	0
Otu0033	Otu0004	-0.847576732313555	0.0019563760883019	0
Botu0177	Otu0004	-0.835381383647173	0.00262070579735307	0
Botu0375	Otu0004	0.975456381144309	1.54128729512593e-06	1
Botu0677	Otu0004	-0.808807519133454	0.00460870343436537	0
Otu0032	Otu0006	-0.804893011981218	0.00497270629152746	0
Otu0051	Otu0006	-0.819346490398703	0.00372367353950165	0
Otu0162	Otu0006	0.880771012101088	0.000763791737457442	1
Otu0256	Otu0006	-0.836264161819919	0.0025678329159402	0
Botu0048	Otu0006	-0.90043977525224	0.000380598963274581	0
Botu0149	Otu0006	-0.924506702884387	0.000129632685915482	0
Botu0161	Otu0006	-0.885716211854273	0.000648750743011295	0
Otu0213	Otu0007	0.924506702884387	0.000129632685915482	1
Botu0031	Otu0007	0.802435317657685	0.00521146176670628	1
Botu0397	Otu0007	0.846317578410239	0.00201859466559173	1
Otu0055	Otu0008	0.897999130859485	0.000418041207038256	1
Otu0332	Otu0008	0.851079440993105	0.00179059476239329	1
Otu0517	Otu0008	-0.839433970151258	0.00238430599250794	0
Otu0536	Otu0008	0.861469320045119	0.00135855235422189	1
Botu0006	Otu0008	-0.814593428531286	0.00410613152183092	0
Botu0049	Otu0008	0.807036771672675	0.00477091512181893	1
Botu0677	Otu0008	-0.825019981194632	0.00330142137780198	0
Otu0047	Otu0009	0.850415343293782	0.0018212136144049	1
Otu0074	Otu0009	0.877366660369984	0.000851188437288375	1
Otu0182	Otu0009	-0.86447274758267	0.0012492419247101	0
Otu0185	Otu0009	0.8170883606476	0.00390203583245485	1
Otu0319	Otu0009	-0.843079024181482	0.0021851810566984	0
Otu0349	Otu0009	-0.823911382570945	0.00338107741983174	0
Botu0016	Otu0009	0.869174505278204	0.00109115106307422	1
Botu0309	Otu0009	0.910430543453697	0.000252439205791433	1
