Var1	Var2	r	p	r.sign
Botu00045	Otu00079	0.968124802346168	2.45641582186096e-07	1
Botu01173	Otu00079	-0.966170022379776	3.29695627243609e-07	0
Otu00529	Otu00088	0.958312853127587	9.24369158994409e-07	1
Botu00525	Otu00088	0.978729557948763	3.30882965471346e-08	1
Botu01788	Otu00090	1	0	1
Botu00351	Otu00120	-0.978947368421053	3.14400132594983e-08	0
Botu00057	Otu00137	0.968124802346168	2.45641582186096e-07	1
Botu01283	Otu00173	0.986819075723151	3.06489211787664e-09	1
Botu00301	Otu00195	0.957716909801876	9.91356432056278e-07	1
Botu01292	Otu00220	-0.971631205673759	1.37977821168533e-07	0
Otu00280	Otu00229	0.966954262020889	2.93600555423268e-07	1
Otu00529	Otu00245	0.959572931776455	7.94552061034182e-07	1
Botu00932	Otu00251	0.968127490039841	2.45539151233487e-07	1
Botu00932	Otu00261	0.968127490039841	2.45539151233487e-07	1
Botu00142	Otu00308	0.979020979020979	3.08980139251958e-08	1
Botu00412	Otu00355	-0.970229158648609	1.75200059349123e-07	0
Otu00529	Otu00374	0.962406015037594	5.55180833750057e-07	1
Botu02219	Otu00714	0.962077764787238	5.79523737886944e-07	1
Botu00775	Otu00822	0.96660957714228	3.09055523173285e-07	1
Botu00881	Botu00001	-0.971855084981518	1.32668680041803e-07	0
Botu00118	Botu00005	0.972027972027972	1.28681157507415e-07	1
Botu00914	Botu00005	0.959591544972873	7.92749605293963e-07	1
Botu01009	Botu00007	-0.957894736842105	9.70977071412804e-07	0
Botu01610	Botu00011	-0.963106532317096	5.05946235573873e-07	0
Botu00050	Botu00024	0.959721261623534	7.80278165191106e-07	1
Botu01056	Botu00026	-0.957894736842105	9.70977071412804e-07	0
Botu00376	Botu00041	-0.985939941285598	4.22650980880235e-09	0
Botu01860	Botu00045	-0.963223893965226	4.98048748465152e-07	0
Botu00966	Botu00049	0.961267605633803	6.432476864493e-07	1
Botu01018	Botu00055	0.982462188151505	1.26879289297221e-08	1
Botu01562	Botu00055	0.959591544972873	7.92749605293963e-07	1
Botu00146	Botu00059	0.963223893965226	4.98048748465152e-07	1
Botu00315	Botu00066	0.975099505026539	7.23070971986317e-08	1
Botu00128	Botu00068	0.977443609022556	4.42793535171404e-08	1
Botu00175	Botu00068	0.965013395973729	3.89282866386509e-07	1
Botu00253	Botu00068	0.966954262020889	2.93600555423268e-07	1
Botu00548	Botu00068	0.969924812030075	1.84245813716899e-07	1
Botu01032	Botu00068	-0.96002260087968	7.51907358154114e-07	0
Botu00308	Botu00070	0.957650982662998	9.98997538692592e-07	1
Botu00738	Botu00073	-0.97544460109328	6.747271052987e-08	0
Botu00625	Botu00092	-0.957900633447718	9.70307053371755e-07	0
Botu00479	Botu00103	0.958745989725372	8.77978707070071e-07	1
Botu00444	Botu00111	0.970175438596491	1.76770465376563e-07	1
Botu00491	Botu00125	0.964812656829478	4.00443693759911e-07	1
Botu00789	Botu00126	0.982462188151505	1.26879289297221e-08	1
Botu01032	Botu00128	-0.96002260087968	7.51907358154114e-07	0
Botu00768	Botu00143	-0.962869562550513	5.22195757746147e-07	0
Botu00712	Botu00151	0.968427014035055	2.34334998516772e-07	1
Botu00356	Botu00154	0.965034965034965	3.88098529979786e-07	1
Botu00731	Botu00162	-0.959221570048756	8.29192400741974e-07	0
Botu00453	Botu00170	0.957685362840703	9.95006984361169e-07	1
Botu01436	Botu00171	-0.959369947014832	8.14420769490454e-07	0
Botu00530	Botu00173	0.974241139348276	8.55356034890065e-08	1
Botu00869	Botu00173	0.96798665061393	2.5095265709929e-07	1
Botu00473	Botu00177	0.959591544972873	7.92749605293963e-07	1
Botu02285	Botu00177	0.960768922830523	6.8515886653131e-07	1
Botu01450	Botu00184	0.961099581737001	6.57134730186471e-07	1
Botu00378	Botu00187	-0.959591544972873	7.92749605293963e-07	0
Botu00301	Botu00190	-0.958415436996335	9.13210175035317e-07	0
Botu00676	Botu00191	-0.966253744458459	3.25682166124608e-07	0
Botu00784	Botu00192	-0.9610754949337	6.59144852921401e-07	0
Botu00931	Botu00245	0.961381741924207	6.33948177064525e-07	1
Botu00414	Botu00255	0.96660957714228	3.09055523173285e-07	1
Botu00789	Botu00270	0.966549295774648	3.1182364645943e-07	1
Botu00716	Botu00272	0.964918220505943	3.94543227200117e-07	1
Botu01096	Botu00272	0.973639464976042	9.59058086280606e-08	1
Botu00857	Botu00280	0.964950504732767	3.9275257890381e-07	1
Botu00382	Botu00331	0.975519620657619	6.64566914831966e-08	1
Botu00625	Botu00373	0.975234986571766	7.03773428423204e-08	1
Botu00588	Botu00396	-0.977073830013764	4.79999466840297e-08	0
Botu01177	Botu00414	0.96831586192511	2.38444289202278e-07	1
Botu00625	Botu00430	-0.96140942697683	6.31708658049845e-07	0
Botu00765	Botu00437	0.961337161266959	6.37567682204576e-07	1
Botu00639	Botu00465	-0.984184296726685	7.58945706280656e-09	0
Botu01243	Botu00503	0.962291249923515	5.63597499336765e-07	1
Botu00803	Botu00510	0.978953394622393	3.13953592012695e-08	1
Botu01489	Botu00529	0.962903537979896	5.19840861246124e-07	1
Botu00996	Botu00576	0.961200789453973	6.48741776743123e-07	1
Botu01055	Botu00803	-0.964728131800594	4.05218606669422e-07	0
Botu01284	Botu00869	0.984912672952504	6.00288507790481e-09	1
Botu01055	Botu01006	0.961273564747473	6.42759488300726e-07	1
