,Degree,BetweennessCentrality
Otu00195,23,6685.58432005121
Otu00529,20,3038.41624316663
Otu00714,17,3650.82635506922
Botu00190,16,3432.03408545245
Botu01450,13,3448.293148344
Botu00028,22,5363.07334277202
Otu00073,14,3313.19869456864
Otu00151,13,6014.11295516747
Otu00079,16,4287.82970892692
Botu00009,13,4804.62264198793
Botu00173,14,5707.51376550089
Botu00222,12,2289.7929137866
Botu00253,16,2556.24012491856
Botu00301,23,10775.6826649493
Botu00126,16,3661.77344223069
Botu00789,13,2270.86387275336
Botu00869,17,2494.28034545557
Botu00100,12,4464.80591976577
Botu00181,13,4737.44199434416
Botu00270,14,2321.75035929327
Botu01897,12,1780.40103690307
Botu00280,19,2174.76895196732
Botu00399,20,4010.82056676196
Botu00496,25,7061.12997096716
Botu00857,14,6657.85771146474
Botu00382,12,2369.78310532865
Botu00548,15,1899.38495328831
Botu00070,13,2025.45873451285
Botu00487,14,2882.84599156335
Botu00403,14,4795.33014259334
Botu00394,15,2532.45047527353
Otu00657,12,5816.22540795016
Otu00339,16,3252.17896205636
Botu00256,19,2090.59127689493
Otu00261,18,5868.9096290176
Botu00357,13,2075.9338990273
Botu00646,19,3777.8040916221
Botu01284,24,3876.77930726867
Botu00049,13,2633.41094461868
Otu00774,17,2957.27836682028
Botu02219,16,1910.32687897677
Botu00226,14,2533.41572840483
Botu00932,19,3923.17826457345
Botu00050,13,3633.25200254524
Botu00200,13,3338.06321946826
Botu00068,16,6569.3265439202
Botu00451,12,2026.44974354719
Botu00245,13,7243.48881902524
Otu00029,14,11110.951219823
