Kingdom	Phylum	Class	Order	Family	Genus	Species	r	p
Otu0032	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	f__Phaeosphaeriaceae_unclassified	f__Phaeosphaeriaceae_unclassified	0.811577613563803	0.00436290861583721
Otu0074	k__Fungi	p__Basidiomycota	c__Agaricostilbomycetes	o__Agaricostilbales	f__Kondoaceae	g__Kondoa	g__Kondoa_unclassified	0.854584440660602	0.00163512994804194
Otu0118	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Knufia	g__Knufia_unclassified	0.931112300832891	9.0611534736329e-05
Otu0152	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	o__Pleosporales_unclassified	o__Pleosporales_unclassified	o__Pleosporales_unclassified	0.856767284162665	0.00154339958281557
Otu0185	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	c__Cystobasidiomycetes_unclassified	c__Cystobasidiomycetes_unclassified	c__Cystobasidiomycetes_unclassified	c__Cystobasidiomycetes_unclassified	0.861908008203419	0.00134216913212093
Otu0399	k__Fungi	p__Ascomycota	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified	-0.848634223332557	0.00190520373980618
Botu0002	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	-0.809099508195424	0.00458233925823248
Botu0007	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonadaceae_unclassified	NA	0.848254185544598	0.00192348104005147
Botu0009	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halotalea	NA	0.860914695776607	0.00137947252564241
Botu0010	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Friedmanniella	NA	-0.912945883241855	0.000225958596236087
Botu0014	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobiaceae_unclassified	NA	0.860845931903656	0.00138208245951632
Botu0039	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	NA	-0.810272654848571	0.00447749983338808
Botu0046	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus	NA	-0.875427559273011	0.00090410970194954
Botu0047	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	NA	0.831274545338089	0.00287704371715436
Botu0049	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	NA	0.80725851535762	0.00475038199079836
Botu0057	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter	NA	0.868199307533371	0.00112267055671267
Botu0067	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	NA	0.835593675312589	0.002607919878997
Botu0087	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	0.873575206008616	0.000956864869126939
Botu0215	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Pigmentiphaga	NA	0.910315239422832	0.000253705297907914
