"","P","R","Name","Kolmogorov.mean","Entropy.mean","Complex.Index.mean","Norm.Edge.Complex.mean","Shannon.ent.mean","Shannon.2nd.mean","Kolmogorov.sd","Entropy.sd","Complex.Index.sd","Norm.Edge.Complex.sd","Shannon.ent.sd","Shannon.2nd.sd"
"1",0.05,"0.6","IN",19335.2697698218,7.89988858717634,0.164337074829626,0.0167864583333333,0.211937418279119,0.423849017397346,1918.93703961921,0.0118740710357108,0.0212962935205823,0.000890729103584829,0.00866260101602567,0.0173302554520856
"2",0.05,"0.6","TN",31765.3851931996,7.88771578310491,0.310427482272767,0.0216866319444444,0.257301262686102,0.514120960106013,5363.96737233555,0.0144566949836779,0.035830428404128,0.00193146411310119,0.0173251677602902,0.0344851611096066
"3",0.05,"0.6","WA",103418.319491287,7.89855726227519,0.543853124006971,0.0489973958333333,0.46260254209991,0.923739425337282,6996.77189130556,0,0.00358383994472392,0.000371154193698412,0.00237665833226783,0.00474322365587744
"4",0.05,"0.8","IN",2287.5428683545,3.11425671731657,0.0168040405068654,0.00208487426035503,0.0389571247627978,0.0778956172261578,543.556549620536,0.250715267542356,0.00600885722722719,0.000131523904461454,0.00207114193252741,0.00413890507256179
"5",0.05,"0.8","TN",4331.26199109451,5.06382322173613,0.0781217461993214,0.00441360022189349,0.0728423819421774,0.145611295371698,698.769166940597,0.254802067901622,0.0160184497141414,0.000477034685714575,0.00650209853294257,0.0129682439276784
"6",0.05,"0.8","WA",14941.3381262737,7.41149647136783,0.219082723710062,0.013768115942029,0.181880115833969,0.363528493854082,1526.60263052599,0.0323470609456363,0.00374870723857397,0.000117904665480993,0.00121613007628579,0.00243896810264586
"7",0.01,"0.6","IN",7795.46170732534,7.53038406104135,0.0928725319195348,0.0084602200255102,0.123726865617248,0.247412832343564,1039.5723468272,0.0883973672108266,0.0139481982153184,0.000575101007102083,0.00675237804131669,0.0134977180376314
"8",0.01,"0.6","TN",16359.461918801,7.55721569468249,0.212512570822086,0.0133549904336735,0.177513414385095,0.354717303454177,2725.50041813015,0.0921602226243599,0.0295653809480833,0.000981056178077571,0.0101449176362758,0.0202805516707914
"9",0.01,"0.6","WA",22873.0115994218,7.72853845999437,0.279362800520852,0.0175711495535714,0.219554034924075,0.438582874051444,2333.06349530987,0.00937555941760927,0.00471207017654592,0.000226892265471486,0.00217211864892317,0.0043537670429095
"10",0.01,"0.8","IN",1886.7557784585,3.00749064679066,0.0130838085992443,0.00199241863905325,0.0374726103279707,0.0749334103891556,531.50876263934,0.368755674721294,0.00814285140101161,0.000204631761798823,0.00326184252708953,0.0065256786545113
