"","State","P","R","Kolmogorov","Entropy","Complex.Index","Norm.Edge.Complex","Shannon.ent","Shannon.2nd"
"1","IN",5e-05,"0.6",107891.715072669,8.38099385083613,0.170681367850023,0.00566331990073538,0.0894649350481231,0.169891620611532
"2","TN",5e-05,"0.6",595164.369825877,9.69267282293078,0.394076136185681,0.0189591399265169,0.232664784183684,0.431937522617791
"3","WA",5e-05,"0.6",43247.5399930196,8.1979143353129,0.0692121074386483,0.00420231622429588,0.0700207989109823,0.135748082665823
"4","IN",5e-05,"0.8",107891.715072669,8.38099385083613,0.170681367850023,0.00566331990073538,0.0894649350481231,0.169891620611532
"5","TN",5e-05,"0.8",595164.369825877,9.69267282293078,0.394076136185681,0.0189591399265169,0.232664784183684,0.431937522617791
"6","WA",5e-05,"0.8",43247.5399930196,8.1979143353129,0.0692121074386483,0.00420231622429588,0.0700207989109823,0.135748082665823
"7","IN",1e-05,"0.6",56562.2434166,7.15408697615761,0.139347008368678,0.0055987890314192,0.0886317063848225,0.169943898090391
"8","TN",1e-05,"0.6",372320.969200884,9.4189900375443,0.324610081703241,0.013943873084169,0.183685804701784,0.343628387783307
"9","WA",1e-05,"0.6",14702.6300991804,6.93297055668604,0.0343460881461006,0.00276720857834659,0.049455819085001,0.0965488899674543
"10","IN",1e-05,"0.8",56562.2434166,7.15408697615761,0.139347008368678,0.0055987890314192,0.0886317063848225,0.169943898090391
"11","TN",1e-05,"0.8",372320.969200884,9.4189900375443,0.324610081703241,0.013943873084169,0.183685804701784,0.343628387783307
"12","WA",1e-05,"0.8",14702.6300991804,6.93297055668604,0.0343460881461006,0.00276720857834659,0.049455819085001,0.0965488899674543
"13","IN",5e-06,"0.6",40247.3672036989,6.66985675874001,0.120472539059863,0.00545108986988395,0.0867163914381907,0.167887917217731
"14","TN",5e-06,"0.6",296812.211679363,9.3031697721864,0.296194172513144,0.0121731264683101,0.165192858539911,0.309787440768836
"15","WA",5e-06,"0.6",9923.25687333608,5.73040562687948,0.0238208362094158,0.00273274836406901,0.0489390249899188,0.0959518544556493
"16","IN",5e-06,"0.8",40247.3672036989,6.66985675874001,0.120472539059863,0.00545108986988395,0.0867163914381907,0.167887917217731
"17","TN",5e-06,"0.8",296812.211679363,9.3031697721864,0.296194172513144,0.0121731264683101,0.165192858539911,0.309787440768836
"18","WA",5e-06,"0.8",9923.25687333608,5.73040562687948,0.0238208362094158,0.00273274836406901,0.0489390249899188,0.0959518544556493
"19","IN",1e-06,"0.6",14480.7324018959,5.86349771835054,0.108725495879002,0.00655328798185941,0.100747161784591,0.195462247785952
"20","TN",1e-06,"0.6",144369.990724567,8.60442751593875,0.230775123105976,0.00908381195058174,0.131024834950451,0.248648379353807
"21","WA",1e-06,"0.6",3917.36966758363,2.09665913465862,0.0153037774114311,0.00431562683147744,0.0715760958446115,0.141935284117034
"22","IN",1e-06,"0.8",14480.7324018959,5.86349771835054,0.108725495879002,0.00655328798185941,0.100747161784591,0.195462247785952
"23","TN",1e-06,"0.8",144369.990724567,8.60442751593875,0.230775123105976,0.00908381195058174,0.131024834950451,0.248648379353807
"24","WA",1e-06,"0.8",3917.36966758363,2.09665913465862,0.0153037774114311,0.00431562683147744,0.0715760958446115,0.141935284117034
