,Kingdom,Phylum,Class,Order,Family,Genus,Species,name,p0.05.r0.6,p0.01.r0.6,p0.005.r0.6,p0.001.r0.6,p0.05.r0.8,p0.01.r0.8,p0.005.r0.8,p0.001.r0.8
Otu0183,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Phaeomoniellales,o__Phaeomoniellales_unclassified,o__Phaeomoniellales_unclassified,o__Phaeomoniellales_unclassified,Otu0183,1,1,1,0,0,0,0,0
Botu0066,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae_unclassified,Verrucomicrobiae_unclassified,Verrucomicrobiae_unclassified,NA,Botu0066,1,1,1,0,1,1,1,0
Botu0074,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae_unclassified,NA,Botu0074,1,0,0,0,0,0,0,0
Botu0090,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,1174-901-12,NA,Botu0090,1,1,1,0,0,0,0,0
Botu0113,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineosporia,NA,Botu0113,1,1,1,0,0,0,0,0
Botu0167,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Spirosomaceae_unclassified,NA,Botu0167,1,1,1,0,0,0,0,0
Botu0187,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,NA,Botu0187,1,1,1,0,0,0,0,0
Botu0302,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophagaceae_unclassified,NA,Botu0302,1,0,0,0,0,0,0,0
Botu0325,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae_unclassified,NA,Botu0325,1,0,1,0,0,0,0,0
Botu0455,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,NA,Botu0455,1,1,1,0,0,0,0,0
Botu0277,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,NA,Botu0277,1,1,1,0,0,0,0,0
Botu0395,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Candidatus_Alysiosphaera,NA,Botu0395,1,1,1,0,1,1,1,0
Botu0537,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,NA,Botu0537,1,1,0,0,1,1,1,0
Botu0587,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,67-14_ge,NA,Botu0587,1,0,1,0,0,0,0,0
Botu0402,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,NA,Botu0402,1,0,1,0,0,0,0,0
Botu0239,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangiaceae_unclassified,NA,Botu0239,1,0,1,0,0,0,0,0
Botu0174,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Polyangium,NA,Botu0174,1,1,0,0,1,1,1,0
Botu0575,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatirosa,NA,Botu0575,1,0,1,0,0,0,0,0
Botu0101,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae_unclassified,NA,Botu0101,1,0,0,0,0,0,0,0
Botu0568,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,uncultured,NA,Botu0568,0,0,0,0,1,1,1,0
Botu0204,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,NA,Botu0204,0,0,0,0,1,1,1,0
Botu0049,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,Botu0049,0,1,1,0,1,1,1,0
Otu0299,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Teratosphaeriaceae,g__Devriesia,s__Devriesia_pseudoamericana,Otu0299,0,1,1,0,1,1,1,0
