,Kingdom,Phylum,Class,Order,Family,Genus,Species
NA,NA,NA,NA,NA,NA,NA,NA
Otu0030,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,g__unclassified_Trichomeriaceae,s__Trichomeriaceae_sp
Otu0054,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,c__Microbotryomycetes_unclassified,c__Microbotryomycetes_unclassified,c__Microbotryomycetes_unclassified,c__Microbotryomycetes_unclassified
Otu0058,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified
Otu0070,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified
Otu0075,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbilia,g__Orbilia_unclassified
Otu0104,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified
Botu0066,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae_unclassified,Verrucomicrobiae_unclassified,Verrucomicrobiae_unclassified,NA
Botu0100,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,NA
NA.1,NA,NA,NA,NA,NA,NA,NA
Botu0028,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,NA
Botu0187,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,NA
NA.2,NA,NA,NA,NA,NA,NA,NA
NA.3,NA,NA,NA,NA,NA,NA,NA
Botu0212,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,NA
Otu0219,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Myriangiales,f__Myriangiaceae,g__Myriangium,s__Myriangium_citri
Otu0081,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,o__Lecanorales_unclassified,o__Lecanorales_unclassified,o__Lecanorales_unclassified
NA.4,NA,NA,NA,NA,NA,NA,NA
Otu0068,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified
NA.5,NA,NA,NA,NA,NA,NA,NA
Otu0204,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,o__Lecanorales_unclassified,o__Lecanorales_unclassified,o__Lecanorales_unclassified
Otu0010,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothideaceae,g__Endoconidioma,s__Endoconidioma_populi
NA.6,NA,NA,NA,NA,NA,NA,NA
NA.7,NA,NA,NA,NA,NA,NA,NA
NA.8,NA,NA,NA,NA,NA,NA,NA
NA.9,NA,NA,NA,NA,NA,NA,NA
NA.10,NA,NA,NA,NA,NA,NA,NA
Otu0078,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,o__Dothideales_unclassified,o__Dothideales_unclassified,o__Dothideales_unclassified
NA.11,NA,NA,NA,NA,NA,NA,NA
Botu0008,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,NA
Botu0252,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadales_fa,Armatimonadales_ge,NA
Botu0136,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,NA
Botu0063,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Labraceae,Labrys,NA
NA.12,NA,NA,NA,NA,NA,NA,NA
NA.13,NA,NA,NA,NA,NA,NA,NA
NA.14,NA,NA,NA,NA,NA,NA,NA
NA.15,NA,NA,NA,NA,NA,NA,NA
