,Kingdom,Phylum,Class,Order,Family,Genus,Species,name,p0.05.r0.6,p0.01.r0.6,p0.005.r0.6,p0.001.r0.6,p0.05.r0.8,p0.01.r0.8,p0.005.r0.8,p0.001.r0.8
Botu0046,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineococcus,NA,Botu0046,1,0,1,0,0,0,1,0
Botu0024,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,NA,Botu0024,1,1,0,0,0,0,0,0
Botu0058,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,NA,Botu0058,1,1,1,0,1,1,1,0
Botu0010,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Friedmanniella,NA,Botu0010,1,1,1,0,1,1,1,0
Botu0475,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,NA,Botu0475,1,1,1,0,1,1,1,0
Botu0031,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,NA,Botu0031,0,0,0,0,1,1,0,0
Otu0032,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,f__Phaeosphaeriaceae_unclassified,f__Phaeosphaeriaceae_unclassified,Otu0032,0,0,1,0,1,1,1,0
Botu0087,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA,Botu0087,0,0,1,0,1,1,1,0
Botu0007,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonadaceae_unclassified,NA,Botu0007,0,1,1,0,1,1,1,0
Botu0014,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobiaceae_unclassified,NA,Botu0014,0,1,1,0,1,1,1,0
Otu0115,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Bionectriaceae,g__Geosmithia,g__Geosmithia_unclassified,Otu0115,0,0,1,0,1,1,1,0
Otu0118,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,g__Knufia,g__Knufia_unclassified,Otu0118,0,0,1,0,1,1,1,0
Botu0011,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacteriaceae_unclassified,NA,Botu0011,0,1,1,0,1,1,1,0
Botu0047,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,NA,Botu0047,0,0,1,0,1,1,1,0
Botu0067,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,NA,Botu0067,0,1,1,0,1,1,1,0
Otu0021,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,Otu0021,0,1,1,0,0,0,1,0
Botu0290,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacteraceae_unclassified,NA,Botu0290,0,1,0,0,0,0,0,0
Otu0319,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,Otu0319,0,1,0,0,0,0,0,0
Botu0055,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA,Botu0055,0,1,0,0,0,0,0,0
Otu0278,k__Fungi,p__Basidiomycota,p__Basidiomycota_unclassified,p__Basidiomycota_unclassified,p__Basidiomycota_unclassified,p__Basidiomycota_unclassified,p__Basidiomycota_unclassified,Otu0278,0,0,1,0,0,0,1,0
Botu0039,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,NA,Botu0039,0,0,1,0,0,0,1,0
Botu0069,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium,NA,Botu0069,0,0,1,0,0,0,1,0
Botu0161,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA,Botu0161,0,0,0,0,0,0,0,0
