,Kingdom,Phylum,Class,Order,Family,Genus,Species,name,p0.00005.r0.6,p0.00001.r0.6,p0.000005.r0.6,p0.000001.r0.6,p0.00005.r0.8,p0.00001.r0.8,p0.000005.r0.8,p0.000001.r0.8
Botu02964,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group_ge,NA,Botu02964,1,1,0,0,1,1,0,0
Otu00375,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Acremonium,s__Acremonium_furcatum,Otu00375,1,0,0,0,1,0,0,0
Botu00061,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,uncultured_ge,NA,Botu00061,1,1,1,1,1,1,1,1
Botu00260,Bacteria,Actinobacteria,MB-A2-108,MB-A2-108_or,MB-A2-108_fa,MB-A2-108_ge,NA,Botu00260,1,1,1,1,1,1,1,1
Botu00049,Bacteria,Actinobacteria,MB-A2-108,MB-A2-108_or,MB-A2-108_fa,MB-A2-108_ge,NA,Botu00049,1,0,0,0,1,0,0,0
Botu00068,Bacteria,Chloroflexi,AD3,AD3_or,AD3_fa,AD3_ge,NA,Botu00068,1,0,1,0,1,0,1,0
Botu00148,Bacteria,Acidobacteria,Acidobacteriia,Subgroup_2,Subgroup_2_fa,Subgroup_2_ge,NA,Botu00148,1,1,1,0,1,1,1,0
Botu00265,Bacteria,Acidobacteria,Subgroup_6,Subgroup_6_or,Subgroup_6_fa,Subgroup_6_ge,NA,Botu00265,1,0,0,0,1,0,0,0
Botu00851,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,Entotheonellaceae_ge,NA,Botu00851,1,0,0,0,1,0,0,0
Botu01240,Bacteria,Chloroflexi,Anaerolineae,RBG-13-54-9,RBG-13-54-9_fa,RBG-13-54-9_ge,NA,Botu01240,1,1,1,1,1,1,1,1
Botu00012,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_ge,NA,Botu00012,1,0,0,0,1,0,0,0
Botu00553,Bacteria,Acidobacteria,Subgroup_6,Subgroup_6_or,Subgroup_6_fa,Subgroup_6_ge,NA,Botu00553,1,1,1,0,1,1,1,0
Botu01067,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,SC-I-84_ge,NA,Botu01067,1,0,0,0,1,0,0,0
Botu00615,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacteriaceae_unclassified,NA,Botu00615,1,1,1,1,1,1,1,1
Botu00699,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,uncultured,NA,Botu00699,1,1,1,1,1,1,1,1
Botu01232,Bacteria,Acidobacteria,Subgroup_6,Subgroup_6_or,Subgroup_6_fa,Subgroup_6_ge,NA,Botu01232,1,0,0,0,1,0,0,0
Botu00113,Bacteria,Rokubacteria,NC10,Rokubacteriales,Rokubacteriales_fa,Rokubacteriales_ge,NA,Botu00113,1,0,0,0,1,0,0,0
Botu00026,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,NA,Botu00026,1,1,1,0,1,1,1,0
Botu00240,Bacteria,Acidobacteria,Subgroup_6,Subgroup_6_or,Subgroup_6_fa,Subgroup_6_ge,NA,Botu00240,1,1,1,1,1,1,1,1
Botu00131,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacteraceae_unclassified,NA,Botu00131,1,0,0,0,1,0,0,0
Botu00137,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,mle1-7,NA,Botu00137,1,1,0,0,1,1,0,0
Botu00230,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,uncultured,uncultured_ge,NA,Botu00230,1,1,0,0,1,1,0,0
Botu00048,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,NA,Botu00048,1,1,1,0,1,1,1,0
Botu00273,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,uncultured,uncultured_ge,NA,Botu00273,1,1,1,1,1,1,1,1
Botu00269,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,MND1,NA,Botu00269,1,1,1,0,1,1,1,0
Botu01044,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinales_fa,Actinomarinales_ge,NA,Botu01044,1,1,0,0,1,1,0,0
Botu01108,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,NA,Botu01108,1,1,0,0,1,1,0,0
Botu00578,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,NA,Botu00578,1,0,0,0,1,0,0,0
Botu00833,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,67-14_ge,NA,Botu00833,1,0,0,0,1,0,0,0
Botu00023,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,NA,Botu00023,1,0,0,0,1,0,0,0
Botu00207,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,B1-7BS,B1-7BS_ge,NA,Botu00207,0,1,1,1,0,1,1,1
Botu00815,Bacteria,Rokubacteria,NC10,Rokubacteriales,Rokubacteriales_fa,Rokubacteriales_ge,NA,Botu00815,0,1,1,1,0,1,1,1
Botu00306,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA,Botu00306,0,1,0,0,0,1,0,0
Botu00242,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,uncultured,NA,Botu00242,0,1,1,1,0,1,1,1
Otu00948,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Cystofilobasidiaceae,g__Cystofilobasidium,s__Cystofilobasidium_macerans,Otu00948,0,1,1,0,0,1,1,0
Botu00076,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,NA,Botu00076,0,1,0,1,0,1,0,1
Botu00945,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,mle1-7,NA,Botu00945,0,1,1,0,0,1,1,0
Botu01295,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellulaceae_unclassified,NA,Botu01295,0,1,1,0,0,1,1,0
Botu00127,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,uncultured_ge,NA,Botu00127,0,1,1,0,0,1,1,0
Botu00538,Bacteria,Proteobacteria,Deltaproteobacteria,RCP2-54,RCP2-54_fa,RCP2-54_ge,NA,Botu00538,0,1,1,0,0,1,1,0
Botu00640,Bacteria,Acidobacteria,Subgroup_11,Subgroup_11_or,Subgroup_11_fa,Subgroup_11_ge,NA,Botu00640,0,1,1,0,0,1,1,0
Botu00189,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,uncultured_ge,NA,Botu00189,0,1,1,0,0,1,1,0
Botu00341,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,NA,Botu00341,0,1,1,0,0,1,1,0
Botu00291,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,NA,Botu00291,0,1,1,1,0,1,1,1
Botu00652,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,uncultured,NA,Botu00652,0,1,1,1,0,1,1,1
Botu00295,Bacteria,Actinobacteria,Acidimicrobiia,IMCC26256,IMCC26256_fa,IMCC26256_ge,NA,Botu00295,0,1,1,0,0,1,1,0
Botu00391,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,NA,Botu00391,0,0,1,0,0,0,1,0
Botu00807,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonadaceae_unclassified,NA,Botu00807,0,0,1,0,0,0,1,0
Botu00654,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,uncultured,uncultured_ge,NA,Botu00654,0,0,1,0,0,0,1,0
Botu01159,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,67-14_ge,NA,Botu01159,0,0,1,0,0,0,1,0
Botu01328,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,uncultured,uncultured_ge,NA,Botu01328,0,0,1,0,0,0,1,0
Botu00066,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellales_unclassified,Gaiellales_unclassified,NA,Botu00066,0,0,1,0,0,0,1,0
Botu00369,Bacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,Subgroup_6_unclassified,NA,Botu00369,0,0,1,1,0,0,1,1
Botu00667,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,NA,Botu00667,0,0,1,0,0,0,1,0
Botu00082,Bacteria,Acidobacteria,Subgroup_6,Subgroup_6_or,Subgroup_6_fa,Subgroup_6_ge,NA,Botu00082,0,0,0,1,0,0,0,1
