,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu00008,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Piskurozymaceae,g__Solicoccozyma,s__Solicoccozyma_aeria
Otu00054,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Ophiocordycipitaceae,g__Purpureocillium,s__Purpureocillium_lilacinum
Otu00060,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Plectosphaerellaceae,g__Gibellulopsis,s__Gibellulopsis_piscis
Otu00078,k__Fungi,p__Ascomycota,c__Sordariomycetes,c__Sordariomycetes_unclassified,c__Sordariomycetes_unclassified,c__Sordariomycetes_unclassified,c__Sordariomycetes_unclassified
Otu00093,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified
Otu00102,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__unclassified_Onygenales,g__unclassified_Onygenales,s__Onygenales_sp
Otu00321,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,o__Pleosporales_unclassified,o__Pleosporales_unclassified,o__Pleosporales_unclassified
Otu00364,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified
Otu00389,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Magnaporthales,f__Magnaporthaceae,g__Mycoleptodiscus,s__Mycoleptodiscus_sp
Otu00508,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascobolaceae,g__Ascobolus,s__Ascobolus_sp
Otu00861,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_alpina
Botu00034,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,NA
Botu00047,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
Botu00086,Bacteria,Chloroflexi,TK10,TK10_or,TK10_fa,TK10_ge,NA
Botu00109,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,uncultured_ge,NA
Botu00158,Bacteria,Chloroflexi,Dehalococcoidia,S085,S085_fa,S085_ge,NA
Botu00205,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,NB1-j_fa,NB1-j_ge,NA
Botu00220,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Nordella,NA
Botu00268,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,NA
Botu00299,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,MND1,NA
Botu00304,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,MND1,NA
Botu00317,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,NA
Botu00343,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosoarchaeum,NA
Botu00418,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula,NA
Botu00499,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Domibacillus,NA
Botu00567,Bacteria,Actinobacteria,Acidimicrobiia,IMCC26256,IMCC26256_fa,IMCC26256_ge,NA
Botu00799,Bacteria,Acidobacteria,Blastocatellia_(Subgroup_4),11-24,11-24_fa,11-24_ge,NA
Botu00827,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosotenuis,NA
Botu00952,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales_fa,Saccharimonadales_ge,NA
Botu00982,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,NA
Botu01175,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,uncultured,NA
Botu01347,Bacteria,Acidobacteria,Subgroup_17,Subgroup_17_or,Subgroup_17_fa,Subgroup_17_ge,NA
Botu01620,Bacteria,Rokubacteria,NC10,Rokubacteriales,Rokubacteriales_fa,Rokubacteriales_ge,NA
Botu01848,Bacteria,Acidobacteria,Subgroup_15,Subgroup_15_or,Subgroup_15_fa,Subgroup_15_ge,NA
Botu02318,Bacteria,Acidobacteria,Subgroup_25,Subgroup_25_or,Subgroup_25_fa,Subgroup_25_ge,NA
Botu02417,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,NA
Botu02563,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,Gemmataceae_unclassified,NA
Botu03614,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,OLB12,NA
Botu04725,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Ancylobacter,NA
Botu04906,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,uncultured,NA
