,Kingdom,Phylum,Class,Order,Family,Genus,Species,name,p0.05.r0.6,p0.01.r0.6,p0.005.r0.6,p0.001.r0.6,p0.05.r0.8,p0.01.r0.8,p0.005.r0.8,p0.001.r0.8
Otu0061,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,Otu0061,1,1,1,0,0,0,0,0
Otu0089,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Caliciales,f__Physciaceae,g__Phaeophyscia,g__Phaeophyscia_unclassified,Otu0089,1,0,1,0,1,1,1,0
Otu0253,k__Fungi,p__Ascomycota,c__Lecanoromycetes,c__Lecanoromycetes_unclassified,c__Lecanoromycetes_unclassified,c__Lecanoromycetes_unclassified,c__Lecanoromycetes_unclassified,Otu0253,1,1,0,0,1,1,1,0
Botu0034,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,NA,Botu0034,1,0,0,0,0,0,0,0
Botu0082,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,NA,Botu0082,1,0,0,0,0,0,0,0
Botu0093,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophagaceae_unclassified,NA,Botu0093,1,0,0,0,0,0,0,0
Botu0119,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,NA,Botu0119,1,1,1,0,1,1,1,0
Otu0005,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Phaeomoniellales,o__Phaeomoniellales_unclassified,o__Phaeomoniellales_unclassified,o__Phaeomoniellales_unclassified,Otu0005,1,0,0,0,0,0,0,0
Otu0037,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Coryneliales,f__Coryneliaceae,g__Caliciopsis,s__Caliciopsis_valentina,Otu0037,1,1,1,0,1,1,1,0
Otu0058,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,Otu0058,1,0,0,0,0,0,0,0
Otu0062,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__unclassified_Pleosporales,g__unclassified_Pleosporales,s__Pleosporales_sp,Otu0062,1,0,0,0,0,0,0,0
Otu0091,k__Fungi,p__Ascomycota,c__Lecanoromycetes,c__Lecanoromycetes_unclassified,c__Lecanoromycetes_unclassified,c__Lecanoromycetes_unclassified,c__Lecanoromycetes_unclassified,Otu0091,1,1,0,0,0,0,0,0
Otu0104,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,Otu0104,1,0,0,0,0,0,0,0
