"","State","P","R","Kolmogorov","Entropy","Complex.Index","Norm.Edge.Complex","Shannon.ent","Shannon.2nd"
"1","IN",0.05,"0.6",199516.781545222,9.55311567348086,0.165981822635019,0.0165975979567857,0.21017080360687,0.413433540796726
"2","TN",0.05,"0.6",275903.665629383,9.33762190199251,0.312919547683347,0.0212370015933723,0.253522626985234,0.494149256592726
"3","WA",0.05,"0.6",165413.135332621,7.91059877446468,0.544801763494725,0.0490745167679803,0.463100556777892,0.896433064791184
"4","IN",0.05,"0.8",12281.4534019185,7.12197382458077,0.0199779177840904,0.0020682647860852,0.0387057985480195,0.0755783218712477
"5","TN",0.05,"0.8",26989.6773606371,7.06587716953702,0.0930699466353104,0.00452015516950582,0.0743616700836618,0.144203190683803
"6","WA",0.05,"0.8",44329.7907090626,7.43356579985106,0.219176546685975,0.0137527736686391,0.181723735516327,0.345201993325497
"7","IN",0.01,"0.6",98345.5788525127,9.55311567348086,0.096021915005803,0.00830055794383975,0.121905795864974,0.238377434318207
"8","TN",0.01,"0.6",194123.010572268,9.33539035469392,0.245648204580364,0.0139822101237432,0.184078481899,0.355953392085967
"9","WA",0.01,"0.6",59776.433271239,7.74604229205163,0.280143513331278,0.0175816430417417,0.219658498534482,0.416283901799329
"10","IN",0.01,"0.8",12281.4534019185,7.12197382458077,0.0199779177840904,0.0020682647860852,0.0387057985480195,0.0755783218712477
"11","TN",0.01,"0.8",26989.6773606371,7.06587716953702,0.0930699466353104,0.00452015516950582,0.0743616700836618,0.144203190683803
"12","WA",0.01,"0.8",44329.7907090626,7.43356579985106,0.219176546685975,0.0137527736686391,0.181723735516327,0.345201993325497
"13","IN",0.005,"0.6",52032.1724664354,9.51551329490436,0.0611622077363079,0.00481712660548486,0.0783586031812173,0.152711081093273
"14","TN",0.005,"0.6",134300.363648572,9.27441194022722,0.186465951178353,0.00903830269979799,0.130500593692857,0.251897495393092
"15","WA",0.005,"0.6",41267.1473144908,7.2724994955563,0.212054251397786,0.0132434725233292,0.17645582987452,0.334637177746523
"16","IN",0.005,"0.8",12281.4534019185,7.12197382458077,0.0199779177840904,0.0020682647860852,0.0387057985480195,0.0755783218712477
"17","TN",0.005,"0.8",26989.6773606371,7.06587716953702,0.0930699466353104,0.00452015516950582,0.0743616700836618,0.144203190683803
"18","WA",0.005,"0.8",41267.1473144908,7.2724994955563,0.212054251397786,0.0132434725233292,0.17645582987452,0.334637177746523
"19","IN",0.001,"0.6",16947.9779474116,8.12253806422232,0.0275904153820502,0.00226178906936924,0.0417424342822146,0.0812450189670048
"20","TN",0.001,"0.6",50099.0400230476,8.24941577823851,0.12025448202023,0.00501849841858945,0.0810383015119891,0.156107012798683
"21","WA",0.001,"0.6",10898.1025673387,5.67465229471467,0.127167035391578,0.0114650661742074,0.157590500273438,0.308695960545533
"22","IN",0.001,"0.8",12281.4534019185,7.12197382458077,0.0199779177840904,0.0020682647860852,0.0387057985480195,0.0755783218712477
"23","TN",0.001,"0.8",26989.6773606371,7.06587716953702,0.0930699466353104,0.00452015516950582,0.0743616700836618,0.144203190683803
"24","WA",0.001,"0.8",10898.1025673387,5.67465229471467,0.127167035391578,0.0114650661742074,0.157590500273438,0.308695960545533
