,Kingdom,Phylum,Class,Order,Family,Genus,Species,name,p0.00005.r0.6,p0.00001.r0.6,p0.000005.r0.6,p0.000001.r0.6,p0.00005.r0.8,p0.00001.r0.8,p0.000005.r0.8,p0.000001.r0.8
Otu00195,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,Otu00195,1,1,1,0,1,1,1,0
Otu00529,k__Fungi,p__Ascomycota,c__Eurotiomycetes,c__Eurotiomycetes_unclassified,c__Eurotiomycetes_unclassified,c__Eurotiomycetes_unclassified,c__Eurotiomycetes_unclassified,Otu00529,1,1,1,1,1,1,1,1
Otu00714,k__Fungi,p__Ascomycota,c__Eurotiomycetes,c__Eurotiomycetes_unclassified,c__Eurotiomycetes_unclassified,c__Eurotiomycetes_unclassified,c__Eurotiomycetes_unclassified,Otu00714,1,1,0,0,1,1,0,0
Botu00190,Bacteria,Acidobacteria,Blastocatellia_(Subgroup_4),Blastocatellales,Blastocatellaceae,uncultured,NA,Botu00190,1,0,0,0,1,0,0,0
Botu01450,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,JG30-KF-CM45_ge,NA,Botu01450,1,1,0,0,1,1,0,0
Botu00028,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_ge,NA,Botu00028,1,1,1,0,1,1,1,0
Otu00073,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,o__Hypocreales_unclassified,o__Hypocreales_unclassified,o__Hypocreales_unclassified,Otu00073,1,0,0,0,1,0,0,0
Otu00151,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__Penicillium_pimiteouiense,Otu00151,1,0,0,0,1,0,0,0
Otu00079,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Chaetosphaeriales,f__Chaetosphaeriaceae,f__Chaetosphaeriaceae_unclassified,f__Chaetosphaeriaceae_unclassified,Otu00079,1,0,0,1,1,0,0,1
Botu00009,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,NA,Botu00009,1,0,0,0,1,0,0,0
Botu00173,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,uncultured,uncultured_ge,NA,Botu00173,1,0,0,1,1,0,0,1
Botu00222,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobiaceae_unclassified,NA,Botu00222,1,0,0,0,1,0,0,0
Botu00253,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,NA,Botu00253,1,0,0,0,1,0,0,0
Botu00301,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,uncultured_ge,NA,Botu00301,1,1,1,1,1,1,1,1
Botu00126,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,NA,Botu00126,1,0,0,0,1,0,0,0
Botu00789,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,Ohtaekwangia,NA,Botu00789,1,0,0,1,1,0,0,1
Botu00869,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,NA,Botu00869,1,1,0,1,1,1,0,1
Botu00100,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Intrasporangiaceae_unclassified,NA,Botu00100,1,0,0,0,1,0,0,0
Botu00181,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,PLTA13_fa,PLTA13_ge,NA,Botu00181,1,0,0,0,1,0,0,0
